인덱스,한국어,영어,한글 간격,영문 간격,혼동되지 않게 확인용
0,게임시작,New Game,0,0,타이틀
1,이어하기,Continue,0,0,타이틀
2,설정,Options,80,0,타이틀
3,세이브 삭제,Delete data,0,0,타이틀
4,게임종료,Exit Game,0,0,타이틀
5,정말 삭제하시겠습니까?,Are you sure?,0,0,재확인
6,네,Yes,0,0,재확인
7,아니요,No,0,0,재확인
8,타이틀로 돌아갑니다,Back to the title,0,0,재확인
9,게임을 종료합니다,Exit Game,0,0,재확인
10,로딩 중...,Loading...,0,0,로딩 이미지
11,저장 중...,Saving...,0,0,로딩 이미지
12,일시정지,Pause,0,0,일시정지 UI
13,계속하기,Continue,0,0,일시정지 UI
14,불러오기,Retrieve,-5,0,일시정지 UI
15,인벤토리,Inventory,0,0,일시정지 UI
16,설정,Options,150,0,일시정지 UI
17,타이틀로,Title,0,0,일시정지 UI
18,게임종료,Exit Game,0,0,일시정지 UI
19,설,Options,0,0,설정UI
20,설정,Options,0,0,설정UI
21,사운드,Sound,8,0,설정UI
22,언어,Language,8,0,설정UI
23,나가기,Back,20,0,설정UI
24,엄,Language,8,0,설정UI
25,나가기,Back,20,0,설정UI
26,소리,Sound,0,0,사운드
27,전체,Master,0,0,사운드
28,배경,BGM,0,0,사운드
29,효과,SFX,0,0,사운드
30,저장,Save,100,0,사운드
31,취소,Cancel,100,0,사운드
32,그래픽,Graphic,0,0,그래픽
33,수직동기화,Vsync,0,0,그래픽
34,해상도,Resolution,0,0,그래픽
35,저장,Save,0,0,그래픽
36,취소,Cancel,0,0,그래픽
37,켜기,on,0,0,그래픽
38,끄기,off,0,0,그래픽
39,창모드,Windowed,0,0,그래픽
40,전체화면,Full Screen,0,0,그래픽
41,다시하기,Retry,0,0,게임오버
42,타이틀로,Title,0,0,게임오버
43,언어,Language,0,0,언어
44,한국어,English,0,0,언어
45,확인,OK,0,0,언어
46,키 설정,Key Setting,0,0,키 커스텀
47,위,UpMove,0,0,키 커스텀
48,아래,DownMove,0,0,키 커스텀
49,오른쪽,RightMove,0,0,키 커스텀
50,왼쪽,LeftMove,0,0,키 커스텀
51,공격,Attack,0,0,키 커스텀
52,점프,Jump,0,0,키 커스텀
53,내려찍기,DownAttack,0,0,키 커스텀
54,상호작용,Interact,0,0,키 커스텀
55,시점전환,Dimension,0,0,키 커스텀
56,패드 설정,Pad Setting,0,0,패드 커스텀
57,공격,Attack,0,0,패드 커스텀
58,점프,Jump,0,0,패드 커스텀
59,내려찍기,DownAttack,0,0,패드 커스텀
60,상호작용,Interact,0,0,패드 커스텀
61,시점전환,Dimension,0,0,패드 커스텀
62,스테이지 선택,Select Stage,0,0,체크포인트
63,설정을 저장합니까?,Are you sure?,0,0,설정 재확인
64,예,Yes,0,0,설정 재확인
65,아니오,No,0,0,설정 재확인
66,공격,Attack,0,0,터치 입력
67,점프,Jump,0,0,터치 입력
68,내려찍기,Down,0,0,터치 입력
69,상호작용,Interact,0,0,터치 입력
70,시점전환,Dimension,0,0,터치 입력
